01326100,b8:b7:d7
01351800,b8:b7:d7
01351900,b8:b7:d7
01452300,b8:b7:d7
01452400,b8:b7:d7
01452500,b8:b7:d7
35641300,7c:1e:b3
35285101,7c:1e:b3
35964900,00:0e:56
35533700,00:0c:de
49000741,54:f8:76
49002400,00:0c:de
49002441,54:f8:76
35677405,00:01:24
35677205,c0:98:79
35965105,c0:98:79
35721504,00:01:24
35722004,00:01:24
35721604,c0:98:79
35399405,c0:98:79
35399305,00:01:24
35721804,00:01:24
35299908,00:01:24
35300008,c0:98:79
35482405,c0:98:79
35680405,c0:98:79
35680505,c0:98:79
44916700,00:01:24
44916763,00:01:24
50001900,c0:98:79
50001902,00:01:24
44916800,00:01:24
44916863,00:01:24
50002000,00:01:24
50002002,c0:98:79
50002100,00:01:24
50002102,c0:98:79
44916600,c0:98:79
44916663,00:01:24
50002200,c0:98:79
50002202,00:01:24
50002300,00:01:24
50002302,00:01:24
44916900,00:01:24
44916963,00:01:24
44933200,c0:98:79
44933273,00:01:24
50001800,00:01:24
50001802,00:01:24
50002400,c0:98:79
50002402,00:01:24
50002500,00:01:24
50002502,c0:98:79
44917000,00:01:24
44917063,c0:98:79
44928763,c0:98:79
50002600,c0:98:79
50002602,c0:98:79
50002700,c0:98:79
50002702,c0:98:79
44928700,c0:98:79
44917100,00:01:24
44917163,c0:98:79
50002800,00:01:24
50002802,c0:98:79
50002900,00:01:24
50002902,00:01:24
35065900,00:01:24
35065918,c0:98:79
35066000,00:01:24
35066018,00:01:24
44928900,00:01:24
35589503,c0:98:79
35326803,c0:98:79
35589603,c0:98:79
35326903,00:01:24
35888403,c0:98:79
35888903,c0:98:79
35897903,c0:98:79
35888103,00:01:24
35888203,c0:98:79
35158404,00:01:24
35158504,00:01:24
35428604,c0:98:79
35428704,00:01:24
35327003,c0:98:79
35429004,c0:98:79
35429104,c0:98:79
35428804,c0:98:79
35428904,c0:98:79
35721304,00:01:24
35721104,c0:98:79
35721704,00:01:24
35721904,00:01:24
35888703,c0:98:79
35888803,c0:98:79
35327403,c0:98:79
33003100,c0:98:79
33003198,00:01:24
44842000,00:01:24
44876500,c0:98:79
44876563,c0:98:79
44922363,c0:98:79
44922300,c0:98:79
44876700,00:01:24
44876763,c0:98:79
44922263,c0:98:79
44922200,c0:98:79
44876400,00:01:24
44876463,00:01:24
44881200,00:01:24
44881263,00:01:24
44876600,c0:98:79
44876663,c0:98:79
50000300,c0:98:79
50000302,c0:98:79
50000400,c0:98:79
50000402,c0:98:79
35950905,00:01:24
35653808,00:01:24
35153103,00:01:24
35542904,00:01:24
35542804,c0:98:79
35808208,c0:98:79
35808308,c0:98:79
35504105,c0:98:79
35453606,c0:98:79
35677305,c0:98:79
35475606,c0:98:79
35894105,c0:98:79
35962105,00:01:24
35575605,00:01:24
35711404,c0:98:79
35314506,c0:98:79
35314606,00:01:24
35879106,00:01:24
35441004,c0:98:79
35409504,00:01:24
35185506,c0:98:79
35507806,00:01:24
35507906,c0:98:79
35860105,c0:98:79
35244006,c0:98:79
35244106,00:01:24
35301406,c0:98:79
35382906,00:01:24
35493406,00:01:24
35453406,c0:98:79
35453506,00:01:24
35508006,00:01:24
35508106,c0:98:79
35737707,00:01:24
35737807,00:01:24
35373707,00:01:24
35373807,00:01:24
35380207,00:01:24
35475506,c0:98:79
35641306,00:01:24
35641406,00:01:24
35641506,00:01:24
35847206,c0:98:79
35847306,c0:98:79
35847406,c0:98:79
35462006,c0:98:79
35770406,c0:98:79
35874406,00:01:24
35279607,00:01:24
35628906,c0:98:79
35278607,c0:98:79
35292207,c0:98:79
35292407,c0:98:79
35213506,00:01:24
35314706,c0:98:79
35314806,c0:98:79
35948106,c0:98:79
35948306,00:01:24
35180806,00:01:24
35213406,00:01:24
35245306,c0:98:79
35463506,00:01:24
35463706,00:01:24
35452207,c0:98:79
35770206,00:01:24
35770306,00:01:24
35874306,00:01:24
35279507,00:01:24
35463606,c0:98:79
35292107,c0:98:79
35292307,c0:98:79
35546707,c0:98:79
35948206,00:01:24
35180906,c0:98:79
35181006,c0:98:79
35245406,00:01:24
35382806,c0:98:79
35462106,00:01:24
35462306,00:01:24
35462406,c0:98:79
35462506,c0:98:79
35586305,00:01:24
35586405,00:01:24
35451206,c0:98:79
35451306,c0:98:79
35553407,c0:98:79
35790906,c0:98:79
35791006,c0:98:79
35279107,00:01:24
35279207,c0:98:79
35279307,00:01:24
35279407,00:01:24
35504307,00:01:24
35506107,00:01:24
35506207,00:01:24
35277307,00:01:24
35277407,c0:98:79
35278407,00:01:24
35278507,00:01:24
35484207,c0:98:79
35484307,c0:98:79
35484407,00:01:24
35786207,c0:98:79
35796607,00:01:24
35786307,c0:98:79
35786407,00:01:24
35872407,00:01:24
35872507,00:01:24
35872607,c0:98:79
35326703,00:01:24
35350703,c0:98:79
35556004,00:01:24
35153003,c0:98:79
35327303,00:01:24
91158360,c0:98:79
35888303,c0:98:79
52025200,c0:98:79
52025201,00:01:24
35350803,00:01:24
35350903,00:01:24
35889003,c0:98:79
35889103,c0:98:79
35280904,c0:98:79
35281004,c0:98:79
35327103,00:01:24
35546403,00:01:24
35158604,00:01:24
35158704,c0:98:79
35502505,00:01:24
35680305,00:01:24
35680605,c0:98:79
35888603,00:01:24
35721404,c0:98:79
35561705,00:01:24
35410005,c0:98:79
35533905,c0:98:79
35533805,c0:98:79
35924808,00:01:24
35888503,00:01:24
35891908,c0:98:79
35327203,c0:98:79
44928963,c0:98:79
44842063,c0:98:79
35934507,c0:98:79
35255309,00:01:24
35255409,00:01:24
35397805,c0:98:79
35973705,c0:98:79
35504205,c0:98:79
35973805,00:01:24
35740105,c0:98:79
50000700,2e:7d:dd
50000705,2e:7d:dd
01038700,00:16:c0
01038800,50:13:9d
01038900,50:13:9d
35875708,00:a0:0a
35973708,00:a0:0a
35786309,00:01:aa
35648505,00:a0:0a
86871503,24:42:e3
86795903,24:42:e3
01344900,b8:3a:9d
01470200,00:1c:fa
01122700,50:40:74
01119500,00:1c:fa
01184200,50:40:74
01251400,00:1c:fa
01483400,00:1c:fa
01506400,50:40:74
01483300,00:1c:fa
01402100,00:1c:fa
01484100,50:40:74
01447400,00:1c:fa
01507200,00:1c:fa
01522100,4c:5f:d2
35626509,54:e3:f6
35626609,18:42:2f
35626709,54:05:5f
35626809,88:5c:47
35626909,0c:b5:de
35627009,04:0a:83
35674509,4c:a7:4b
35990409,90:67:b5
01402400,4c:5f:d2
86389202,90:67:b5
01351500,84:a7:83
86006002,84:a7:83
86365102,94:ae:61
86404301,68:59:7f
86544102,90:67:b5
86005602,00:1d:4c
86545002,4c:5f:d2
01351400,00:1d:4c
01392700,90:67:f3
01402300,00:17:cc
01416600,88:5c:47
01427500,90:67:f3
01437800,18:42:2f
86006202,4c:5f:d2
86448102,68:59:7f
86527102,90:67:f3
86006102,68:59:7f
86116402,04:0a:83
01364800,94:ae:61
01349400,4c:5f:d2
01420000,4c:5f:d2
86426902,4c:5f:d2
86979301,90:67:b5
86979201,4c:5f:d2
86044902,d4:22:4e
86044802,68:59:7f
01384200,68:54:ed
01402800,04:0a:83
01405000,0c:b5:de
01422200,90:67:f3
86294102,00:17:cc
86457402,00:17:cc
86005502,68:54:ed
86294002,00:1d:4c
86642002,04:0a:83
86321502,4c:5f:d2
86629202,00:21:35
86106002,54:05:5f
86106202,4c:a7:4b
86106302,68:59:7f
86106402,68:54:ed
86497902,84:a7:83
86978901,04:0a:83
86043802,90:67:f3
86043902,0c:b5:de
86268302,4c:a7:4b
86106502,d0:99:d5
86129102,84:a7:83
01376500,4c:5f:d2
86129202,18:42:2f
86621502,00:17:cc
01350600,54:05:5f
86012002,88:5c:47
86426102,68:54:ed
86979501,d4:22:4e
01351200,68:59:7f
